Time,mys01,mys02,mys03,mys04,mys05,mys06,mys07
63500,13453,6264,189561443,36304,41804,36977,157456
64000,13375,5394,190811485,37229,38300,35452,157964
64500,14126,5359,196871703,36575,39969,39088,160560
65000,13449,4931,198354078,34693,58968,35829,156347
65500,14222,4889,212939313,32766,42365,35862,159970
66000,14095,462775,199443378,31660,37956,35958,173124
66500,14288,8390,202948360,33613,39675,35783,177809
67000,13985,8046,208276588,35110,39957,39261,169098
67500,14017,9268,204733398,33977,39641,37169,172855
68000,13997,15472,228215743,43649,39042,39794,176866
68500,11036,8324,209796489,35366,41192,36192,178015
69000,14025,8500,211391296,33405,39042,35029,178174
69500,14634,9262,216552971,35001,38565,37276,175345
70000,14032,7666,225721402,33616,37082,35821,210515
70500,14193,8520,230768723,34745,38913,44707,174332
71000,14051,8431,223787170,34150,42169,31434,187357
71500,14046,9338,235450062,33214,38930,34282,180422
72000,13753,7861,228611074,36905,39801,31195,187958
72500,15944,8084,252725974,33292,37092,32211,175708
73000,36914,7455,233693140,31139,38394,31575,176837
73500,16258,9157,236611902,35402,40303,32359,181857
74000,12892,7950,238586237,33291,38516,31370,174070
74500,14803,7537,257141120,34025,38712,40174,175184
75000,13883,8830,240793211,47365,60185,33134,173224
75500,14085,9787,244655070,29794,38417,31234,172063
76000,13801,7928,250220523,33925,37012,32036,200579
76500,14142,9716,262198601,29824,41119,32269,176876
77000,14320,8688,250474469,31091,37597,34080,227687
77500,14261,9360,257998809,32662,55797,33570,187262
78000,13844,7617,256992915,30105,38747,31732,186881
78500,13968,7699,279995174,30497,39939,31516,175896
79000,14234,7528,260764577,30945,60116,32395,183725
79500,14094,9281,264593200,30659,47650,30979,183506
80000,14045,8764,270353103,32272,53943,31010,181742
80500,14259,8281,274772216,30455,52916,32485,178866
81000,13857,8141,269181817,29625,36613,31227,189345
81500,14445,7790,276919004,30098,36217,40500,199833
82000,15896,7820,289688056,33518,83516,29228,176043
82500,25773,7656,279335789,33224,35286,28876,186196
83000,14526,7579,283687036,30526,33426,29954,173507
83500,14683,29909,286082512,29161,36190,28748,171445
84000,13846,7208,303547294,31107,36409,30305,177048
84500,14894,7627,289461436,31474,34793,30338,174566
85000,14100,8010,297851397,30056,36879,30000,177921
85500,14128,9048,302543393,40180,35845,28992,182718
86000,14335,7785,300761702,30700,38024,30589,181507
86500,14453,7659,304531123,28700,36587,32621,173194
87000,13930,7666,330112551,26730,43623,28943,173127
87500,14267,10605,307328228,28076,31922,30922,170377
88000,5361167,8059,312918060,31015,41728,29201,177960
88500,15092,7819,321654166,36372,31905,29728,177930
89000,13502,7504,319927673,28168,37286,31403,179274
89500,13959,7509,322488246,30035,31983,28723,173396
90000,13424,7499,325284825,29338,30953,28771,176838
90500,12604,8426,331284202,29723,33365,30342,217558
91000,15027,8552,330231414,27468,31870,66036,171254
91500,14798,9525,337043092,27624,33547,29211,187696
92000,14338,8386,349700791,29677,34384,30165,178713
92500,73503,8221,339419359,30667,32767,29142,174008
93000,13853,8711,347021504,30069,32281,30030,189858
93500,14836,7893,346409401,31103,31532,28946,173727
94000,14649,7766,347731049,28326,31205,29302,187008
94500,14600,7329,363471335,26651,43146,31650,184095
95000,13911,7602,366432763,28180,32819,29401,173102
95500,16086,9348,374955292,27636,31973,29150,180359
96000,13066,7835,369277058,31893,33079,30478,186634
96500,12924,8120,363018262,31558,32433,29147,173404
97000,13840,27463,366352201,37178,32500,31019,181112
97500,14579,8365,370713922,28136,48664,29123,200222
98000,29964,8971,366030452,25015,43771,29459,176645
98500,15577,7524,378295210,26132,36419,30320,185869
99000,13889,7734,372130899,28640,32080,28944,181346
99500,13810,9430,378508120,25639,32473,65560,179817
99999,13665,8352,388359199,29709,34828,29168,176781
