Time,mys01,mys02,mys03,mys04,mys05,mys06,mys07
63500,13886,4211,187264947,37079,18924,25273,156839
64000,13656,4148,187912659,35957,18647,24164,153396
64500,13996,4302,203277877,43736,18038,25341,154469
65000,14223,7034,196066917,41068,18350,25192,151305
65500,13798,7337,196848565,40658,18636,25536,157344
66000,13921,177984,198708508,51753,23238,25449,172342
66500,14089,4714,201266486,31144,21691,24773,176267
67000,13480,5295,209885810,34161,24082,24753,177976
67500,14036,4134,205828431,32102,22285,24651,177545
68000,13475,4646,209649073,31107,22731,25131,174421
68500,14714,3837,210439875,32909,18880,24655,174623
69000,14730,4059,216828317,31907,19349,25279,173142
69500,14548,4905,227912145,38455,19036,24384,174492
70000,14049,7889,214312238,36274,18705,24853,175544
70500,16716,7837,215367309,37923,19180,24668,174353
71000,14753,5280,221180705,38215,23523,23960,173363
71500,14653,5131,228333753,32844,21479,24811,174391
72000,14070,5129,237631305,32289,22198,24004,175402
72500,13986,3846,223685137,31451,23629,23469,172106
73000,13987,4568,225826033,30000,28613,23841,173940
73500,14247,3985,231721216,31561,33088,25224,175028
74000,13830,4259,243658022,47824,23576,24402,173615
74500,14009,5161,231644369,39932,23408,23787,173321
75000,14530,7214,233166773,36233,21314,25992,245915
75500,13927,7616,236364602,36918,22496,24488,254854
76000,14020,5044,249398553,33439,23136,25578,246080
76500,14363,4207,240348425,30337,22595,24330,251233
77000,13923,5050,241767714,29344,23500,25191,246828
77500,14023,4116,243139550,28469,21931,24881,237688
78000,13774,4790,263698267,28792,21886,37418,179699
78500,10737,3829,252139701,28212,23113,25833,184268
79000,13967,5168,250236741,30249,23500,25401,182441
79500,16032,4881,253652198,34413,22220,24455,202172
80000,14837,7753,262005130,34889,22855,24271,201597
80500,13991,7759,257147466,32443,22573,23569,174108
81000,13555,5259,260002631,32515,21403,25073,178395
81500,14107,3839,266761952,29451,22296,24180,174080
82000,14448,4282,292537710,29941,22784,24913,185572
82500,14141,5112,268804836,29986,21365,24737,175380
83000,13763,6087,284645834,33507,21513,24657,187808
83500,14051,4724,277967121,27717,22417,24586,178859
84000,14095,6257,290969258,28584,22586,24635,181327
84500,14379,5049,275530073,36609,22917,24449,179863
85000,13896,8869,280701204,34077,22979,24211,173725
85500,13942,9408,296786012,34799,23312,23979,173968
86000,13614,5250,283394355,34296,21427,24316,183700
86500,13765,4671,286186836,35729,22394,24425,176240
87000,14642,5575,297963109,25656,21700,24558,181324
87500,13871,4424,301457499,25791,23096,24342,190772
88000,5052914,5045,295253404,24118,22610,24657,189126
88500,14373,4041,304122461,26872,21072,24357,177781
89000,15048,4279,313404626,24060,22941,24486,176676
89500,29053,5061,304208746,32711,22854,24315,175195
90000,28267,8198,309657106,29136,22827,24532,187066
90500,27670,8398,319203463,28959,22491,23736,179258
91000,28945,5565,312721632,29881,22709,24273,184708
91500,27437,4144,313270073,24759,22368,25141,181226
92000,27943,4459,328890487,25441,23179,24149,184933
92500,27449,3956,320968413,26162,22282,24445,182641
93000,25232,4834,323034975,23845,22708,24304,183982
93500,27434,4691,341199400,25186,22183,23955,183586
94000,27431,3951,328962416,24747,22801,24660,186432
94500,14797,4599,333455016,29765,21703,24257,174559
95000,14504,7431,353222991,30594,27684,24174,180139
95500,14134,8036,339235707,29054,23678,24488,175225
96000,13957,5176,342048343,28799,21358,24510,183481
96500,14226,4086,366450646,25063,22650,24514,178555
97000,14049,5381,352379943,27571,23929,25567,181790
97500,14202,3939,357709885,26537,21237,24458,179420
98000,14690,4597,376464857,24264,23613,24577,186287
98500,13739,4856,360580566,25287,22440,24444,192961
99000,14237,3979,372503976,21822,22389,24242,273873
99500,14172,4703,379049818,28215,23445,24401,205180
100000,30645,5696,392843384,65399,23646,69369,191323
100500,28235,123195,75416590,88059858,90627,1447201,387445
101000,32689,105993,83504231,86212635,84445,196241,314378
101500,34672,102201,80484235,93568674,79501,173067,291824
102000,33136,98778,79615775,92393428,79940,173568,282727
102500,33357,97852,76837482,96128902,82020,172058,285432
103000,33140,92459,78137185,98288122,81680,173466,272664
103500,32357,92481,75381294,104775540,81001,174736,277615
104000,32583,90099,74042034,109487680,82917,174636,274665
104500,31362,86365,78465154,108022905,76882,171570,259489
105000,33607,101596,73720799,120680945,83789,176121,268624
105500,30920,86821,76884727,117342860,81138,175314,269433
106000,32453,123936,75619156,124032079,80879,177246,260595
106500,31675,113647,73743633,130567706,84701,171353,269992
107000,73486,115792,76624455,129750874,83242,175747,264182
